ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
24.25,17.88,43.69864,-1.05,-0.01,0.04,-59.21,-10.82,-3.88,21.89,59.81,-100.13,25.72,1464807619
24.25,17.78,43.69864,-1.24,0.05,0.19,-66.94,-15.31,-4.65,-20.69,81.70,-186.33,25.16,1464807620
24.25,17.75,43.69864,-0.90,0.12,0.20,-47.21,-14.48,-4.40,20.24,82.75,-116.32,37.46,1464807621
24.25,17.69,43.69864,-1.19,0.10,-0.11,-35.21,0.83,-2.08,4.20,115.27,-88.29,11.08,1464807622
24.25,17.78,43.69864,-0.95,0.01,-0.00,-72.75,-7.47,-5.39,34.18,104.18,-43.32,18.09,1464807623
24.25,18.03,43.69864,-0.96,-0.03,0.00,-59.67,-16.13,-5.84,-6.15,120.97,-145.56,21.79,1464807624
24.25,17.59,43.69864,-1.30,0.14,0.20,-9.84,-21.65,-11.14,45.57,76.30,-81.10,15.92,1464807625
24.25,17.81,43.69864,-0.74,-0.05,-0.04,-68.22,-1.30,0.35,44.07,77.05,-79.75,26.78,1464807626
24.25,17.81,43.69864,-0.74,-0.05,-0.04,-68.22,-1.30,0.35,44.07,77.05,-79.75,27.41,1464807627
24.25,17.75,43.69864,-0.85,0.02,0.02,-57.49,-6.31,-0.44,-10.94,84.10,-106.28,39.95,1464807628
24.25,17.56,43.69864,-0.85,0.00,0.12,-18.73,-18.98,-7.55,11.09,114.08,-87.39,17.91,1464807629
24.25,17.91,43.69864,-1.09,0.05,0.02,-59.02,-19.06,-10.30,33.88,105.53,-45.57,15.76,1464807630
24.25,17.88,43.69864,0.42,-0.03,0.98,12.92,0.57,43.92,-13.04,117.67,-148.10,33.52,1464807631
24.25,17.59,43.69864,0.13,-0.03,1.00,1.35,-8.28,-5.22,74.20,53.67,29.68,127.28,1464807632
24.25,17.62,43.69864,0.12,-0.02,0.98,1.95,-8.28,-3.82,67.01,76.15,26.53,130.80,1464807633
24.25,17.53,43.69864,0.06,0.04,1.04,1.83,-9.27,-5.84,65.96,74.80,25.48,130.16,1464807634
24.25,17.75,43.69864,0.09,-0.03,1.04,3.31,-8.53,-3.08,67.46,76.15,24.73,132.40,1464807635
24.25,17.56,43.69864,0.12,-0.06,1.03,3.02,-9.20,-3.46,66.56,76.30,24.28,129.52,1464807636
