ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
24.12,17.66,43.55367,-0.86,0.00,0.02,-10.45,-15.68,-5.23,25.33,91.14,-80.20,15.19,1464807708
24.12,17.66,43.55367,-1.08,0.08,0.19,-69.55,-8.05,-4.49,29.98,63.71,-102.83,24.45,1464807709
24.12,17.50,43.55367,-1.08,0.08,0.19,-69.55,-8.05,-4.49,29.98,63.71,-102.83,32.25,1464807710
24.12,17.34,43.55367,-1.21,0.10,0.06,-2.96,-32.96,2.14,9.14,113.93,-89.94,41.86,1464807710
24.12,17.62,43.55367,-0.93,0.03,-0.03,-75.07,-23.00,-5.36,25.78,124.72,-64.46,2.56,1464807712
24.12,17.75,43.55367,-0.48,-0.02,0.12,-62.50,-8.55,-4.83,41.37,87.54,-52.02,12.70,1464807713
24.12,17.75,43.55367,-0.71,0.03,0.05,-69.11,-4.33,0.49,48.12,121.12,-101.78,27.83,1464807713
24.12,17.59,43.55367,-0.90,-0.02,0.03,3.47,-11.95,-2.26,34.63,82.30,-79.15,13.42,1464807714
24.12,17.41,43.55367,-1.40,-0.03,-0.01,-71.14,0.99,-6.70,31.93,70.00,-96.84,25.72,1464807716
24.12,17.47,43.55367,-1.13,-0.11,0.04,-59.59,-0.76,1.37,-9.89,107.63,-176.58,34.24,1464807716
24.12,17.59,43.55367,-1.09,0.05,-0.07,-3.35,-8.44,-7.67,7.35,77.05,-104.03,41.96,1464807718
24.12,17.66,43.55367,-1.11,-0.05,0.05,-77.37,0.86,1.62,18.74,128.47,-68.06,1.92,1464807719
24.12,17.53,43.55367,-1.11,-0.05,0.05,-77.37,0.86,1.62,18.74,128.47,-68.06,33.43,1464807719
24.12,17.56,43.55367,0.09,-0.05,0.99,1.25,-8.78,-3.30,59.21,89.34,7.35,130.56,1464807721
