ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.81,17.84,34.35248,-0.89,-0.06,0.01,-0.34,-6.12,-3.53,34.18,81.40,-70.45,1
23.81,17.84,34.35248,-0.89,-0.06,0.01,-0.34,-6.12,-3.53,34.18,81.40,-70.45,2
23.81,17.97,34.35248,-0.89,-0.06,0.01,-0.34,-6.12,-3.53,34.18,81.40,-70.45,3
23.81,17.97,34.35248,-0.89,-0.06,0.01,-0.34,-6.12,-3.53,34.18,81.40,-70.45,4
23.81,17.97,34.35248,-0.89,-0.06,0.01,-0.34,-6.12,-3.53,34.18,81.40,-70.45,5
23.81,17.97,34.35248,-0.89,-0.06,0.01,-0.34,-6.12,-3.53,34.18,81.40,-70.45,6
23.81,17.97,34.35248,-0.89,-0.06,0.01,-0.34,-6.12,-3.53,34.18,81.40,-70.45,7
23.81,17.97,34.35248,-0.88,-0.00,-0.02,-0.13,-4.70,-3.49,36.58,82.75,-69.40,8
23.81,17.97,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,9
23.81,17.97,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,10
23.81,17.97,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,11
23.81,17.97,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,12
24.00,11.72,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,13
24.00,11.72,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,14
24.00,11.72,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,15
24.00,11.72,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,16
24.00,11.72,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,17
24.00,11.72,34.35248,-0.98,0.04,-0.03,0.66,-10.63,-2.26,40.02,90.54,-76.45,18
24.00,11.72,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,19
24.00,11.72,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,20
24.00,11.72,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,21
24.00,11.72,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,22
23.81,18.47,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,23
23.81,18.47,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,24
23.81,18.47,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,25
23.81,18.47,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,26
23.81,18.47,34.35248,-0.89,-0.04,-0.05,-45.33,-19.42,-5.79,41.97,89.19,-74.20,27
23.81,18.47,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,28
23.81,18.47,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,29
23.81,18.47,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,30
23.81,18.47,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,31
23.81,18.25,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,32
23.81,18.25,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,33
23.81,18.25,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,34
23.81,18.25,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,35
23.81,18.25,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,36
23.81,18.25,34.35248,-0.74,-0.02,0.02,-64.21,2.20,-0.96,19.49,60.71,-94.74,37
23.81,18.25,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,38
23.81,18.25,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,39
23.81,18.25,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,40
23.81,18.25,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,41
23.81,17.97,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,42
23.81,17.97,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,43
23.81,17.97,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,44
23.81,17.97,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,45
23.81,17.97,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,46
23.81,17.97,34.35248,-1.04,0.07,0.17,-56.86,-16.02,6.23,7.35,103.13,-148.70,47
23.81,17.97,34.35248,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,48
23.81,17.97,34.35248,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,49
23.81,17.97,34.35248,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,50
23.81,17.97,34.35248,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,51
23.81,18.19,34.47456,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,52
23.81,18.19,34.47456,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,53
23.81,18.19,34.47456,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,54
23.81,18.19,34.47456,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,55
23.81,18.19,34.47456,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,56
23.81,18.19,34.47456,-0.83,-0.01,-0.13,-11.52,13.12,-2.16,-6.90,74.65,-98.94,57
23.81,18.19,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,58
23.81,18.19,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,59
23.81,18.19,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,60
23.81,18.19,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,61
23.81,18.03,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,62
23.81,18.03,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,63
23.81,18.03,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,64
23.81,18.03,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,65
23.81,18.03,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,66
23.81,18.03,34.47456,-1.20,0.02,0.10,-70.16,-31.18,-9.13,23.38,112.13,-49.77,67
23.81,18.03,34.47456,-1.09,-0.13,0.03,-55.59,-8.33,6.36,29.23,89.79,-36.28,68
23.81,18.03,34.47456,-1.09,-0.13,0.03,-55.59,-8.33,6.36,29.23,89.79,-36.28,69
23.81,18.03,34.47456,-1.09,-0.13,0.03,-55.59,-8.33,6.36,29.23,89.79,-36.28,70
23.81,18.03,34.47456,-1.09,-0.13,0.03,-55.59,-8.33,6.36,29.23,89.79,-36.28,71
23.81,18.03,34.47456,-1.09,-0.13,0.03,-55.59,-8.33,6.36,29.23,89.79,-36.28,72
