ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.62,18.03,35.07729,-0.90,-0.01,0.01,-0.16,-4.42,-4.02,42.87,80.05,-65.06,1
23.62,18.03,35.07729,-0.90,-0.01,0.01,-0.16,-4.42,-4.02,42.87,80.05,-65.06,2
23.62,18.03,35.07729,-0.90,-0.01,0.01,-0.16,-4.42,-4.02,42.87,80.05,-65.06,3
23.62,18.03,35.07729,-0.90,-0.01,0.01,-0.16,-4.42,-4.02,42.87,80.05,-65.06,4
23.62,18.03,35.07729,-0.90,-0.01,0.01,-0.16,-4.42,-4.02,42.87,80.05,-65.06,5
23.62,18.03,35.07729,-0.90,-0.01,0.01,-0.16,-4.42,-4.02,42.87,80.05,-65.06,6
23.62,18.03,35.07729,-0.89,-0.00,-0.05,0.78,-6.96,-4.18,39.87,83.20,-67.31,7
23.62,18.03,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,8
23.62,18.03,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,9
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,10
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,11
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,12
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,13
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,14
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,15
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,16
23.72,13.47,35.07729,-1.08,0.11,-0.06,-3.06,-5.95,-4.97,42.72,80.95,-62.51,17
23.72,13.47,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,18
23.72,13.47,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,19
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,20
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,21
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,22
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,23
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,24
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,25
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,26
23.62,18.88,35.07729,-1.20,-0.04,0.06,-66.17,-23.49,4.12,43.92,75.10,-63.11,27
23.62,18.88,35.07729,-0.73,-0.05,0.09,-59.56,-12.60,-3.04,20.39,62.96,-101.48,28
23.62,18.88,35.07729,-0.73,-0.05,0.09,-59.56,-12.60,-3.04,20.39,62.96,-101.48,29
23.62,18.28,35.07729,-0.73,-0.05,0.09,-59.56,-12.60,-3.04,20.39,62.96,-101.48,30
23.62,18.28,35.07729,-0.73,-0.05,0.09,-59.56,-12.60,-3.04,20.39,62.96,-101.48,31
23.62,18.28,35.07729,-0.73,-0.05,0.09,-59.56,-12.60,-3.04,20.39,62.96,-101.48,32
23.62,18.28,35.07729,-0.73,-0.05,0.09,-59.56,-12.60,-3.04,20.39,62.96,-101.48,33
23.62,18.28,35.07729,-0.73,-0.05,0.09,-59.56,-12.60,-3.04,20.39,62.96,-101.48,34
23.62,18.06,35.07729,-0.72,-0.03,-0.08,-58.92,-13.84,0.11,34.48,101.03,-132.51,35
23.62,18.06,35.07729,-0.72,-0.03,-0.08,-58.92,-13.84,0.11,34.48,101.03,-132.51,36
23.62,18.06,35.07729,-0.72,-0.03,-0.08,-58.92,-13.84,0.11,34.48,101.03,-132.51,37
23.62,18.06,35.07729,-0.72,-0.03,-0.08,-58.92,-13.84,0.11,34.48,101.03,-132.51,38
23.62,18.06,35.07729,-0.72,-0.03,-0.08,-58.92,-13.84,0.11,34.48,101.03,-132.51,39
23.62,18.06,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,40
23.62,18.06,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,41
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,42
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,43
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,44
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,45
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,46
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,47
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,48
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,49
23.62,17.91,35.07729,-0.87,0.01,0.11,-1.48,-23.91,-1.12,4.20,90.24,-80.05,50
23.62,17.91,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,51
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,52
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,53
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,54
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,55
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,56
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,57
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,58
23.62,17.78,35.07729,-1.15,-0.01,0.04,-69.36,-1.01,0.66,24.88,102.38,-50.22,59
23.62,17.78,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,60
23.62,17.78,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,61
23.62,17.78,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,62
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,63
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,64
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,65
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,66
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,67
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,68
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,69
23.62,17.72,35.07729,-1.80,-0.13,-0.07,-69.57,-24.95,9.13,29.98,82.60,-50.97,70
23.62,17.72,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,71
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,72
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,73
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,74
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,75
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,76
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,77
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,78
23.62,17.84,35.07729,-0.97,0.07,-0.01,-53.21,-0.97,-2.92,46.77,105.53,-95.64,79
23.62,17.84,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,80
23.62,17.84,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,81
23.62,17.84,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,82
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,83
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,84
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,85
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,86
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,87
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,88
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,89
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,90
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,91
23.88,23.88,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,92
23.62,18.19,35.07729,-0.88,-0.08,0.02,-2.32,-0.49,-5.71,29.83,82.15,-76.30,93
23.62,18.19,35.07729,-0.86,-0.00,0.07,-63.59,-47.22,1.57,34.33,63.26,-76.75,94
23.62,18.19,35.07729,-0.86,-0.00,0.07,-63.59,-47.22,1.57,34.33,63.26,-76.75,95
23.62,18.19,35.07729,-0.86,-0.00,0.07,-63.59,-47.22,1.57,34.33,63.26,-76.75,96
23.62,18.19,35.07729,-0.86,-0.00,0.07,-63.59,-47.22,1.57,34.33,63.26,-76.75,97
23.62,18.19,35.07729,-0.86,-0.00,0.07,-63.59,-47.22,1.57,34.33,63.26,-76.75,98
23.62,18.19,35.07729,-0.86,-0.00,0.07,-63.59,-47.22,1.57,34.33,63.26,-76.75,99
23.62,18.19,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,100
23.62,18.19,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,101
23.62,18.19,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,102
23.62,17.91,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,103
23.62,17.91,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,104
23.62,17.91,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,105
23.62,17.91,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,106
23.62,17.91,35.07729,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,107
23.62,17.91,35.19936,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,108
23.62,17.91,35.19936,-0.13,0.05,0.06,-51.12,-1.09,-2.88,-2.70,101.18,-157.70,109
23.62,17.91,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,110
23.62,17.91,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,111
23.62,17.91,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,112
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,113
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,114
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,115
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,116
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,117
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,118
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,119
23.62,18.03,35.19936,-0.78,0.05,-0.06,-65.50,3.23,-0.79,33.58,81.55,-120.07,120
23.62,18.03,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,121
23.62,18.03,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,122
23.62,17.81,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,123
23.62,17.81,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,124
23.62,17.81,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,125
23.62,17.81,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,126
23.62,17.81,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,127
23.62,17.81,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,128
23.62,17.81,35.19936,-1.17,0.15,0.10,-3.77,-8.23,-8.51,21.44,101.93,-63.41,129
23.62,17.81,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,130
23.62,17.81,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,131
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,132
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,133
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,134
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,135
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,136
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,137
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,138
23.62,17.94,35.19936,-0.69,0.00,-0.05,-71.31,-0.73,-8.50,28.03,101.78,-33.43,139
