ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
21.97,15.56,45.48394,989.02,1.499801,-0.77,0.15,0.20,15.93,-14.37,-3.38,25.63,78.10,-77.95,56.06,1464792864
21.97,15.66,45.48394,988.97,1.941519,-0.95,0.21,0.05,-50.18,24.00,12.72,21.44,65.06,-98.04,19.96,1464792865
21.97,15.53,45.48394,988.97,1.941519,-0.93,0.07,0.10,-59.09,11.86,5.12,-6.00,113.03,-155.00,25.19,1464792866
21.97,15.56,45.48394,989.01,1.588247,-0.83,-0.03,0.12,6.23,-15.68,-1.84,-6.15,75.70,-105.08,19.40,1464792867
21.97,15.50,45.48394,989.01,1.588247,-0.79,-0.06,0.14,-80.01,21.48,-8.68,7.20,121.87,-61.61,46.72,1464792868
21.97,15.34,45.48394,989,1.676694,-0.96,0.15,0.20,-56.55,-15.03,9.77,37.18,85.14,-32.83,377.92,1464792869
21.97,15.34,45.48394,989.01,1.588247,-0.70,0.17,-0.22,-63.65,-19.84,13.87,40.17,121.42,-87.84,301.20,1464792870
21.97,15.38,45.48394,989,1.676694,-1.60,0.02,-0.06,11.75,-21.90,23.03,19.34,76.90,-75.10,251.44,1464792871
21.97,15.50,45.48394,988.97,1.941519,-0.95,0.23,0.08,-59.13,-19.07,8.93,25.03,63.26,-93.54,19.54,1464792872
21.97,15.44,45.48394,988.94,2.205832,-0.95,0.23,0.08,-59.13,-19.07,8.93,25.03,63.26,-93.54,22.68,1464792873
21.97,15.22,45.48394,988.97,1.941519,0.26,0.23,1.02,0.19,-6.97,-3.51,-49.92,37.78,-104.03,9.27,1464792874
21.97,15.34,45.48394,988.94,2.205832,0.21,0.19,0.97,1.43,-9.21,-3.35,-50.67,35.23,-103.73,9.42,1464792875
21.97,15.25,45.48394,988.94,2.205832,0.17,0.24,0.93,1.29,-6.55,-1.98,-50.52,36.13,-104.63,9.26,1464792876
21.97,15.16,45.48394,988.99,1.764621,0.17,0.24,0.93,1.29,-6.55,-1.98,-50.52,36.13,-104.63,9.34,1464792877
22.00,15.34,45.48394,988.94,2.205832,0.12,0.19,0.94,0.46,-4.01,-3.69,-48.87,38.08,-105.08,9.34,1464792878
21.97,15.22,45.48394,988.97,1.941519,0.19,0.28,0.96,1.49,-8.06,-3.47,-49.32,36.88,-104.93,7.82,1464792879
