ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.22,15.81,45.36187,988.96,2.029449,-0.82,0.01,0.03,-8.25,-0.61,-11.86,32.83,77.65,-72.70,59.10,1464793348
22.22,15.97,45.36187,989,1.676694,-0.90,-0.19,-0.19,-52.58,-23.63,11.20,26.08,60.41,-98.04,21.65,1464793349
22.22,15.72,45.36187,988.95,2.11738,-0.84,-0.01,-0.01,-63.79,1.70,7.16,2.25,109.73,-155.75,22.52,1464793350
22.22,15.75,45.36187,989.02,1.499801,-0.91,0.05,-0.08,-4.73,-14.58,-15.75,-3.60,75.25,-108.53,20.05,1464793351
22.22,15.81,45.36187,989.02,1.499801,-1.28,-0.10,0.05,-73.60,-5.34,8.25,13.04,120.37,-62.81,73.10,1464793352
22.22,15.72,45.36187,988.97,1.941519,-0.77,0.22,-0.04,-72.94,11.23,-8.90,34.78,84.99,-33.43,370.08,1464793353
22.22,15.50,45.36187,988.99,1.764621,-1.36,0.19,0.20,-69.31,-17.01,-2.05,47.07,115.87,-77.80,347.36,1464793354
22.22,15.88,45.36187,989.01,1.588247,-1.03,0.13,0.14,-4.68,-4.78,-3.84,21.44,79.75,-72.70,233.84,1464793355
22.22,15.66,45.36187,989,1.676694,0.04,0.12,0.02,-65.24,13.62,-3.91,26.23,61.31,-97.14,20.03,1464793356
22.22,15.81,45.36187,989,1.676694,0.04,0.12,0.02,-65.24,13.62,-3.91,26.23,61.31,-97.14,21.80,1464793357
22.22,15.66,45.2398,989.01,1.588247,0.20,0.32,0.91,1.84,-5.93,-3.41,-51.57,33.28,-101.48,6.53,1464793358
22.22,15.62,45.36187,988.96,2.029449,0.27,0.35,0.94,1.46,-4.75,-3.49,-50.67,30.58,-102.68,6.46,1464793359
22.22,15.53,45.2398,988.97,1.941519,0.17,0.28,0.97,-1.20,-5.64,-2.93,-48.72,31.93,-103.58,6.61,1464793360
22.22,15.62,45.2398,989.02,1.499801,0.21,0.25,0.94,0.32,-5.49,-4.06,-50.22,29.53,-103.43,6.46,1464793361
