ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
21.88,15.34,45.21691,988.97,1.941519,-0.97,0.09,-0.03,2.95,-10.05,-5.66,20.39,79.75,-82.60,27.73,1464792366
21.88,15.31,45.21691,988.97,1.941519,-1.16,-0.01,0.25,-7.31,-9.70,-4.87,24.28,80.05,-77.50,29.04,1464792367
21.88,15.47,45.21691,989.01,1.588247,-0.70,0.00,-0.01,-71.62,-6.70,-15.77,22.94,67.31,-101.48,22.56,1464792368
21.88,15.44,45.21691,989.08,0.9701855,-0.85,0.18,0.07,-63.61,-11.21,4.98,6.45,112.28,-150.95,246.00,1464792369
21.88,15.34,45.21691,989.16,0.2647745,-1.14,0.06,-0.22,3.70,-19.00,-2.79,-11.84,79.90,-107.48,585.76,1464792370
21.91,15.75,45.21691,989.04,1.323433,-0.90,0.09,0.07,-68.61,-0.58,4.53,17.09,118.87,-58.01,1335.68,1464792371
21.88,15.25,45.21691,989,1.676694,-1.47,0.27,0.14,-58.97,0.93,8.43,40.47,82.45,-31.33,25.11,1464792372
21.88,15.47,45.21691,988.97,1.941519,-1.05,0.05,0.19,-62.68,-18.88,4.51,47.52,117.67,-79.90,29.35,1464792373
21.88,15.34,45.21691,988.95,2.11738,-1.03,0.01,0.07,2.30,-1.77,-5.42,23.23,79.75,-76.45,30.32,1464792374
21.88,15.31,45.21691,988.96,2.029449,-0.77,0.04,0.18,-62.93,-12.30,6.70,26.23,64.16,-96.84,22.39,1464792375
21.88,15.12,45.21691,988.96,2.029449,1.67,-0.25,1.67,-32.90,14.53,-10.65,-1.50,111.68,-159.65,5.57,1464792376
21.88,15.09,45.21691,989.02,1.499801,0.04,0.24,0.93,-0.55,-2.37,-0.45,-34.78,31.93,-119.32,5.34,1464792377
21.88,15.34,45.21691,988.97,1.941519,0.04,0.20,0.99,1.63,-10.58,-5.39,-29.23,32.38,-121.27,5.42,1464792378
21.88,15.25,45.21691,989,1.676694,0.06,0.29,0.92,4.82,-7.46,-4.21,-29.68,34.18,-120.52,5.43,1464792379
21.88,15.06,45.21691,989,1.676694,0.06,0.18,0.97,1.39,-9.12,-3.10,-30.13,32.68,-120.97,5.27,1464792380
