ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.28,15.66,45.12535,989.02,1.499801,-0.86,0.05,-0.01,-11.07,-7.82,-17.10,30.13,82.75,-75.55,68.14,1464793485
22.28,15.75,45.12535,989,1.676694,-0.94,0.06,-0.03,-70.00,-6.95,1.03,46.92,60.71,-72.10,19.42,1464793486
22.28,15.84,45.12535,989,1.676694,-1.14,-0.10,0.16,-58.29,-26.26,-1.29,3.15,80.95,-150.35,50.60,1464793487
22.28,15.88,45.12535,989.04,1.323433,-1.26,0.29,0.05,-63.72,-10.26,-3.87,36.13,85.89,-108.38,27.84,1464793488
22.28,15.84,45.12535,989.03,1.411356,-0.65,-0.03,0.25,-4.72,-2.54,2.93,3.00,113.63,-88.44,19.05,1464793489
22.28,15.69,45.12535,989.01,1.588247,-1.13,0.10,0.30,-75.32,-11.32,6.48,24.43,103.88,-38.23,350.24,1464793490
22.28,15.66,45.12535,989.02,1.499801,-1.09,0.04,0.20,-74.59,-13.82,2.88,-24.43,123.37,-133.41,369.76,1464793491
22.28,16.00,45.12535,989,1.676694,-0.85,-0.04,0.07,3.74,-29.25,0.26,44.22,79.75,-52.77,339.52,1464793492
22.28,15.97,45.12535,989.02,1.499801,-0.82,0.19,0.07,-77.45,-0.54,8.23,30.73,74.80,-73.75,20.47,1464793493
22.28,15.88,45.12535,988.97,1.941519,-0.82,0.19,0.07,-77.45,-0.54,8.23,30.73,74.80,-73.75,51.20,1464793494
22.28,15.78,45.14824,989.02,1.499801,-1.37,-0.38,0.18,-12.97,-45.48,-6.31,-7.20,77.05,-112.28,113.48,1464793495
22.28,15.59,45.00328,989.03,1.411356,-0.92,-0.12,-0.29,-1.21,-4.49,-3.54,-10.34,81.40,-130.12,115.16,1464793496
22.28,15.53,45.00328,989.04,1.323433,-0.92,-0.07,-0.31,-1.37,-6.23,-3.67,-12.59,80.65,-129.37,116.08,1464793497
22.28,15.84,45.00328,989.01,1.588247,-0.89,-0.06,-0.35,-0.76,-4.86,-3.27,-11.39,82.15,-129.07,115.44,1464793498
22.28,15.81,45.02617,989.01,1.588247,-0.90,-0.08,-0.29,0.20,-4.95,-3.14,-12.74,79.75,-129.67,115.32,1464793499
