ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.06,15.12,45.48394,988.96,2.029449,-0.93,0.09,0.09,9.55,-13.28,3.80,25.63,80.95,-76.90,81.92,1464793080
22.06,15.50,45.48394,988.94,2.205832,-0.71,0.19,0.14,-58.47,1.64,-20.54,15.29,71.05,-108.83,18.51,1464793081
22.06,15.66,45.48394,988.96,2.029449,-0.99,0.07,0.12,-65.23,-11.22,6.37,-19.34,103.13,-180.93,23.89,1464793082
22.06,15.56,45.48394,988.95,2.11738,-0.96,0.19,0.05,-18.47,-9.41,1.35,4.05,75.40,-105.53,74.50,1464793083
22.06,15.56,45.48394,988.96,2.029449,-1.36,0.32,-0.06,-74.62,-8.91,33.37,5.25,122.77,-75.25,73.50,1464793084
22.06,15.72,45.48394,988.95,2.11738,-0.94,0.07,0.16,-58.81,-15.81,2.86,34.63,88.74,-37.33,220.08,1464793085
22.06,15.56,45.48394,988.93,2.294286,-0.79,0.09,0.03,-68.25,-12.77,10.16,34.93,122.62,-99.39,296.00,1464793086
22.06,15.69,45.48394,989,1.676694,-1.15,0.04,0.15,9.27,-13.15,13.59,21.44,77.95,-76.75,327.52,1464793087
22.06,15.56,45.48394,988.92,2.38274,-0.21,-0.12,0.00,-53.63,-0.09,-6.51,25.63,65.36,-93.69,18.50,1464793088
22.06,15.53,45.48394,989.01,1.588247,-0.21,-0.12,0.00,-53.63,-0.09,-6.51,25.63,65.36,-93.69,23.97,1464793089
22.06,15.34,45.48394,988.94,2.205832,0.12,0.14,1.03,-1.63,-2.10,-1.70,-12.89,68.51,-83.80,58.50,1464793090
22.06,15.34,45.48394,988.97,1.941519,0.16,0.14,0.98,0.27,-7.53,-3.73,-25.03,29.98,-49.77,9.27,1464793091
22.06,15.47,45.48394,988.99,1.764621,0.21,0.14,1.01,-1.32,-3.83,-1.98,-23.53,30.28,-50.22,9.11,1464793092
22.06,15.47,45.48394,988.93,2.294286,0.20,0.09,0.95,-1.33,-2.87,-3.10,-24.58,28.93,-49.17,9.11,1464793093
