ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.06,15.28,44.63706,989.05,1.23551,-1.17,0.29,-0.16,-10.62,-13.14,-6.50,23.98,94.44,-73.30,30.16,1464791062
22.06,15.34,44.63706,989.08,0.9701855,-1.06,0.16,0.09,-67.31,-4.75,-1.69,45.12,71.65,-67.31,27.81,1464791063
22.06,15.19,44.63706,988.97,1.941519,-0.89,0.08,0.06,-60.50,-29.94,3.27,-2.10,70.45,-171.79,30.00,1464791064
22.06,15.59,44.63706,989.15,0.3526877,-1.10,-0.04,0.14,-71.10,-23.73,9.95,25.93,80.35,-120.82,181.52,1464791065
22.06,15.34,44.63706,989.01,1.588247,-1.12,0.14,0.23,-15.44,-14.68,0.60,9.29,114.83,-83.65,689.92,1464791066
22.06,15.69,44.63706,989.52,-2.911469,-0.98,-0.00,0.15,-71.29,-13.49,-2.39,27.58,101.18,-42.12,960.32,1464791067
22.06,15.28,44.63706,989.03,1.411356,-1.00,-0.09,0.17,-62.27,-6.57,13.13,-17.54,128.17,-133.26,26.38,1464791068
22.06,15.56,44.63706,989.03,1.411356,-0.16,0.11,-0.41,44.74,-84.72,-2.79,33.28,75.85,-66.86,30.96,1464791069
22.06,15.53,44.63706,989.03,1.411356,-0.43,0.25,-0.04,-41.52,79.63,-22.58,36.58,72.10,-73.45,23.44,1464791070
22.06,15.38,44.63706,989.04,1.323433,-0.43,0.25,-0.04,-41.52,79.63,-22.58,36.58,72.10,-73.45,24.57,1464791071
22.06,15.47,44.63706,989.04,1.323433,-0.43,0.25,-0.04,-41.52,79.63,-22.58,36.58,72.10,-73.45,24.82,1464791072
22.06,15.38,44.63706,989.03,1.411356,-0.43,0.25,-0.04,-41.52,79.63,-22.58,36.58,72.10,-73.45,24.82,1464791073
22.09,14.88,44.63706,989.02,1.499801,-0.43,0.25,-0.04,-41.52,79.63,-22.58,36.58,72.10,-73.45,24.74,1464791074
