ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.06,15.09,44.88121,989.02,1.499801,-1.09,0.22,-0.03,-2.20,-1.78,3.35,38.67,80.95,-65.96,29.93,1464791307
22.06,15.19,44.88121,989,1.676694,-0.92,0.28,0.07,-67.78,-16.82,-1.03,31.93,66.71,-82.15,27.89,1464791308
22.06,15.28,44.88121,989.03,1.411356,-0.69,0.11,0.19,-63.06,-15.87,5.32,-25.33,75.70,-194.27,26.44,1464791309
22.06,15.28,44.88121,989.1,0.7943476,-1.00,0.06,0.09,-36.93,-12.68,-0.72,14.24,77.50,-113.33,200.40,1464791310
22.06,15.12,44.88121,989.03,1.411356,-0.76,-0.12,-0.16,-46.21,-2.87,5.81,1.50,114.38,-85.29,764.16,1464791311
22.06,15.56,44.88121,989.44,-2.205275,-0.64,0.10,-0.01,-69.11,6.34,-0.86,27.13,91.14,-42.12,586.40,1464791312
22.06,15.69,44.88121,989.02,1.499801,-0.69,0.18,0.12,-57.73,-0.72,9.95,2.85,130.27,-113.03,28.24,1464791313
22.06,15.19,44.88121,988.99,1.764621,-1.60,0.32,0.27,-10.57,-28.30,39.03,23.53,74.35,-75.10,30.88,1464791314
22.06,15.19,44.88121,989.01,1.588247,-0.95,-0.01,-0.25,-2.90,8.21,-4.23,28.78,66.71,-81.70,21.98,1464791315
22.06,15.47,44.88121,989,1.676694,-0.95,-0.01,-0.25,-2.90,8.21,-4.23,28.78,66.71,-81.70,23.35,1464791316
22.06,14.97,44.88121,988.99,1.764621,-0.95,-0.01,-0.25,-2.90,8.21,-4.23,28.78,66.71,-81.70,23.35,1464791317
22.06,15.09,44.88121,989.03,1.411356,-0.95,-0.01,-0.25,-2.90,8.21,-4.23,28.78,66.71,-81.70,23.35,1464791318
22.06,15.25,44.88121,989.04,1.323433,-0.95,-0.01,-0.25,-2.90,8.21,-4.23,28.78,66.71,-81.70,23.35,1464791319
