ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.03,15.53,44.40055,989.07,1.058626,-0.96,0.07,0.01,-1.42,-2.17,-2.02,25.33,86.49,-79.15,28.95,1464790732
22.03,15.53,44.40055,989.09,0.8822661,-0.86,0.19,0.02,-52.61,-9.08,-3.10,27.13,85.89,-69.85,27.68,1464790733
22.03,15.06,44.40055,989.11,0.7059098,-0.96,0.13,0.16,-64.62,-5.28,4.16,11.99,61.76,-122.92,69.90,1464790734
22.03,15.28,44.40055,989.19,-0,-1.22,-0.10,0.17,-63.85,-1.24,3.94,37.03,105.98,-118.42,319.12,1464790735
22.03,15.47,44.40055,989.31,-1.059018,-0.87,0.31,-0.00,10.94,-10.69,13.65,-8.39,98.64,-89.79,728.32,1464790736
22.03,15.59,44.40055,989.02,1.499801,-0.59,0.19,0.06,-62.30,-25.29,4.64,11.09,100.13,-55.16,454.40,1464790737
22.03,15.38,44.40055,989.08,0.9701855,-1.53,0.05,0.28,-65.38,-22.33,14.96,25.33,81.85,-30.73,26.98,1464790738
22.03,15.25,44.52262,989.01,1.588247,-0.95,0.07,0.11,-50.77,-3.88,-0.93,66.86,104.63,-43.02,28.54,1464790739
22.03,15.09,44.40055,989.03,1.411356,-0.14,0.02,-0.87,32.42,115.09,-124.79,31.33,74.65,-70.00,0.00,1464790740
22.03,15.47,44.40055,989.07,1.058626,-0.05,-0.06,-0.89,0.16,-4.01,-3.34,20.09,54.71,-108.38,0.00,1464790741
22.03,14.88,44.52262,989.05,1.23551,-0.05,-0.06,-0.89,0.16,-4.01,-3.34,20.09,54.71,-108.38,0.00,1464790742
22.03,15.03,44.40055,989.05,1.23551,-0.05,-0.06,-0.89,0.16,-4.01,-3.34,20.09,54.71,-108.38,0.00,1464790743
