ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.12,15.38,44.75914,988.99,1.764621,-0.94,0.03,0.04,-0.89,1.84,5.63,30.43,92.64,-62.06,30.17,1464791485
22.12,15.50,44.75914,989.02,1.499801,-0.83,0.16,0.06,-70.78,-7.57,5.39,49.92,77.20,-60.71,27.82,1464791486
22.12,15.28,44.63706,988.97,1.941519,-0.88,0.09,0.05,-63.69,-15.56,15.40,1.35,70.00,-157.55,29.19,1464791487
22.12,15.47,44.75914,989.14,0.4411219,-0.40,0.13,0.07,-69.99,-11.16,4.34,28.48,80.35,-120.52,149.48,1464791488
22.12,15.53,44.75914,989.26,-0.6179493,-0.90,0.07,-0.00,-11.10,18.04,-0.89,4.20,114.53,-85.44,698.88,1464791489
22.12,15.72,44.75914,988.94,2.205832,-0.97,-0.02,0.03,-70.64,-12.58,9.14,25.18,102.38,-36.73,879.04,1464791490
22.12,15.50,44.75914,988.94,2.205832,-0.80,0.06,-0.07,-69.88,0.45,2.47,-25.33,123.52,-131.46,26.94,1464791491
22.12,15.53,44.75914,989,1.676694,-0.75,-0.06,-0.22,-21.68,-54.05,77.44,41.07,79.75,-57.26,31.12,1464791492
22.12,15.53,44.75914,988.99,1.764621,-1.03,0.21,-0.51,-6.80,-52.38,7.18,36.43,75.10,-73.75,28.05,1464791493
22.12,15.34,44.75914,988.97,1.941519,-1.03,0.21,-0.51,-6.80,-52.38,7.18,36.43,75.10,-73.75,18.93,1464791493
22.12,15.19,44.75914,988.97,1.941519,-1.03,0.21,-0.51,-6.80,-52.38,7.18,36.43,75.10,-73.75,19.58,1464791495
22.12,15.38,44.75914,989.01,1.588247,-1.03,0.21,-0.51,-6.80,-52.38,7.18,36.43,75.10,-73.75,19.74,1464791496
22.12,15.22,44.75914,988.97,1.941519,-1.03,0.21,-0.51,-6.80,-52.38,7.18,36.43,75.10,-73.75,19.66,1464791497
