ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.06,15.31,44.75914,988.97,1.941519,-0.99,-0.14,0.14,4.38,0.00,-3.41,27.58,85.89,-71.95,27.90,1464791177
22.06,15.41,44.75914,989.02,1.499801,-0.86,-0.00,0.03,-61.52,-20.63,-1.11,29.98,66.56,-81.85,27.41,1464791178
22.06,15.50,44.75914,989.02,1.499801,-1.13,0.13,0.08,-67.61,-14.23,8.90,-26.38,80.95,-192.92,195.44,1464791179
22.06,15.31,44.75914,989.18,0.08843067,-1.32,0.11,-0.13,-51.63,-8.14,5.17,14.39,76.15,-113.18,765.76,1464791180
22.06,15.50,44.75914,989.26,-0.6179493,-0.89,0.05,0.06,-39.96,-3.74,8.40,1.05,114.98,-85.89,688.96,1464791181
22.06,15.38,44.75914,989.02,1.499801,-1.06,0.14,0.07,-70.83,-10.89,9.21,28.63,92.19,-38.67,27.36,1464791182
22.06,15.59,44.75914,989.01,1.588247,-1.30,0.17,0.01,-64.75,-2.91,4.85,1.35,133.86,-115.42,30.65,1464791183
22.06,15.47,44.75914,989.03,1.411356,-2.70,-1.21,0.44,39.87,243.23,24.32,25.18,78.10,-76.30,21.91,1464791184
22.06,15.56,44.75914,989.02,1.499801,0.15,0.12,1.03,2.13,-4.65,-3.67,27.88,66.26,-83.35,2.65,1464791185
22.06,15.38,44.75914,989.03,1.411356,0.15,0.12,1.03,2.13,-4.65,-3.67,27.88,66.26,-83.35,2.57,1464791186
22.06,15.09,44.75914,989.01,1.588247,0.15,0.12,1.03,2.13,-4.65,-3.67,27.88,66.26,-83.35,2.65,1464791187
22.06,14.94,44.75914,989.02,1.499801,0.15,0.12,1.03,2.13,-4.65,-3.67,27.88,66.26,-83.35,2.82,1464791188
22.06,15.09,44.75914,989.07,1.058626,0.15,0.12,1.03,2.13,-4.65,-3.67,27.88,66.26,-83.35,2.98,1464791189
