ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.06,15.53,44.52262,989.02,1.499801,-0.87,-0.04,0.05,-1.48,-4.39,-4.40,15.59,81.40,-87.24,29.50,1464790889
22.06,15.41,44.52262,988.99,1.764621,-1.23,0.05,0.12,-43.16,-8.12,8.93,17.24,84.69,-81.85,28.72,1464790890
22.06,15.56,44.52262,989.03,1.411356,-1.11,-0.05,0.06,-66.47,7.75,12.90,-0.30,69.10,-158.45,68.28,1464790891
22.06,15.25,44.52262,989.12,0.6174729,-0.88,0.07,0.17,-71.74,-10.56,11.03,32.53,108.38,-128.62,348.32,1464790892
22.06,15.25,44.52262,989.03,1.411356,-0.77,-0.10,0.06,7.21,7.00,-16.25,-11.09,98.49,-95.19,772.48,1464790893
22.06,15.78,44.52262,989.39,-1.764265,-0.89,0.07,0.09,-64.84,4.72,-2.49,12.59,102.68,-57.26,398.40,1464790894
22.06,15.31,44.52262,988.97,1.941519,-1.32,0.10,-0.07,-74.42,-24.73,-14.99,35.23,84.54,-29.23,26.32,1464790895
22.06,15.59,44.52262,988.99,1.764621,-1.12,0.10,0.09,-52.27,-24.33,17.01,68.96,109.28,-51.27,28.70,1464790896
22.06,15.72,44.52262,989.01,1.588247,-0.16,0.17,0.39,-75.38,63.07,9.86,31.63,79.90,-75.55,0.32,1464790897
22.06,15.25,44.52262,989.01,1.588247,0.05,-0.08,-1.01,0.96,-6.68,-2.16,22.49,58.61,-107.33,0.56,1464790898
22.06,15.53,44.52262,989.02,1.499801,-0.03,-0.08,-0.81,-0.77,-4.65,-4.26,8.54,40.62,-93.69,0.56,1464790899
22.06,15.09,44.52262,988.99,1.764621,-0.03,-0.08,-0.81,-0.77,-4.65,-4.26,8.54,40.62,-93.69,0.56,1464790900
22.06,15.31,44.52262,988.97,1.941519,-0.03,-0.08,-0.81,-0.77,-4.65,-4.26,8.54,40.62,-93.69,0.56,1464790901
