ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.09,15.34,44.88121,989,1.676694,-0.61,-0.11,0.17,-0.28,6.65,-26.05,16.19,92.64,-75.10,30.56,1464791377
22.09,15.38,44.88121,989,1.676694,-1.27,0.05,0.17,-62.13,9.00,3.17,44.67,75.10,-63.71,28.54,1464791378
22.09,15.50,44.88121,988.96,2.029449,-0.59,0.02,0.24,-61.83,-3.07,-5.35,-0.45,71.65,-164.14,30.33,1464791379
22.09,15.56,44.88121,989.04,1.323433,-1.09,0.07,0.15,-65.94,-5.61,6.15,26.08,81.25,-120.67,175.12,1464791381
22.12,15.69,44.88121,988.94,2.205832,-0.86,0.29,0.13,-13.11,-13.13,10.27,5.10,113.03,-83.95,685.12,1464791382
22.12,15.53,44.88121,989.4,-1.852677,-0.79,0.20,0.13,-75.33,-15.55,2.11,27.58,101.18,-34.63,915.52,1464791382
22.12,15.59,44.88121,988.96,2.029449,-0.83,0.08,0.19,-67.61,-2.59,-5.60,-22.34,124.42,-132.06,26.71,1464791383
22.12,15.62,44.88121,989.02,1.499801,-0.14,-0.11,-0.29,-5.53,-53.98,58.37,40.02,75.10,-57.86,31.69,1464791385
22.12,15.59,44.88121,989,1.676694,0.08,0.81,-0.14,-3.89,18.55,-21.30,37.18,75.10,-74.35,23.52,1464791386
22.12,15.47,44.88121,988.99,1.764621,0.08,0.81,-0.14,-3.89,18.55,-21.30,37.18,75.10,-74.35,25.88,1464791386
22.12,15.22,44.88121,989,1.676694,0.08,0.81,-0.14,-3.89,18.55,-21.30,37.18,75.10,-74.35,25.88,1464791387
22.12,15.16,44.88121,989.02,1.499801,0.08,0.81,-0.14,-3.89,18.55,-21.30,37.18,75.10,-74.35,25.88,1464791389
22.12,15.31,44.88121,988.99,1.764621,0.08,0.81,-0.14,-3.89,18.55,-21.30,37.18,75.10,-74.35,26.04,1464791390
