ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.22,16.28,45.07957,-0.83,-0.02,0.09,-10.80,-12.19,1.35,18.44,68.21,-100.88,1
23.22,16.28,45.07957,-0.83,-0.02,0.09,-10.80,-12.19,1.35,18.44,68.21,-100.88,2
23.22,16.09,45.07957,-0.83,-0.02,0.09,-10.80,-12.19,1.35,18.44,68.21,-100.88,3
23.22,16.09,45.07957,-0.83,-0.02,0.09,-10.80,-12.19,1.35,18.44,68.21,-100.88,4
23.22,16.09,45.07957,-0.83,-0.02,0.09,-10.80,-12.19,1.35,18.44,68.21,-100.88,5
23.22,16.09,45.07957,-0.83,-0.02,0.09,-10.80,-12.19,1.35,18.44,68.21,-100.88,6
23.22,16.09,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,7
23.22,16.09,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,8
23.22,16.09,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,9
23.22,16.09,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,10
23.22,16.09,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,11
23.22,16.09,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,12
23.25,18.25,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,13
23.25,18.25,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,14
23.25,18.25,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,15
23.25,18.25,45.07957,-1.23,0.02,-0.12,-6.72,-4.32,0.85,29.83,87.09,-79.30,16
23.25,18.25,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,17
23.25,18.25,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,18
23.25,18.25,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,19
23.25,18.25,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,20
23.25,18.25,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,21
23.25,18.25,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,22
23.25,18.25,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,23
23.25,17.22,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,24
23.25,17.22,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,25
23.25,17.22,45.07957,-0.88,0.12,0.09,-72.51,-25.10,-0.74,28.63,57.26,-94.29,26
23.25,17.22,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,27
23.25,17.22,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,28
23.25,17.22,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,29
23.25,17.22,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,30
23.25,17.22,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,31
23.25,17.22,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,32
23.25,16.84,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,33
23.25,16.84,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,34
23.25,16.84,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,35
23.25,16.84,45.07957,-0.54,0.06,0.03,-65.96,-10.43,-2.82,-31.03,79.60,-193.97,36
23.25,16.84,45.07957,-1.01,0.01,0.17,-61.06,-0.72,5.00,22.34,80.65,-116.32,37
23.25,16.84,45.07957,-1.01,0.01,0.17,-61.06,-0.72,5.00,22.34,80.65,-116.32,38
23.25,16.84,45.07957,-1.01,0.01,0.17,-61.06,-0.72,5.00,22.34,80.65,-116.32,39
23.25,16.84,45.07957,-1.01,0.01,0.17,-61.06,-0.72,5.00,22.34,80.65,-116.32,40
23.25,16.84,45.07957,-1.01,0.01,0.17,-61.06,-0.72,5.00,22.34,80.65,-116.32,41
23.25,16.84,45.07957,-1.01,0.01,0.17,-61.06,-0.72,5.00,22.34,80.65,-116.32,42
23.25,16.84,45.07957,-1.01,0.01,0.17,-61.06,-0.72,5.00,22.34,80.65,-116.32,43
