ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.59,17.81,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,1
23.59,17.81,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,2
23.59,17.81,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,3
23.59,17.81,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,4
23.59,17.81,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,5
23.59,17.81,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,6
23.59,17.81,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,7
23.59,17.41,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,8
23.59,17.41,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,9
23.59,17.41,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,10
23.59,17.41,43.897,-0.92,0.03,-0.07,-1.07,-5.95,-1.92,45.72,85.14,-64.01,11
23.59,17.41,43.897,-0.89,-0.03,0.03,0.44,-7.00,-4.26,47.67,82.15,-66.26,12
23.59,17.41,43.897,-0.89,-0.03,0.03,0.44,-7.00,-4.26,47.67,82.15,-66.26,13
23.59,17.41,43.897,-0.89,-0.03,0.03,0.44,-7.00,-4.26,47.67,82.15,-66.26,14
23.59,17.41,43.897,-0.89,-0.03,0.03,0.44,-7.00,-4.26,47.67,82.15,-66.26,15
23.59,17.41,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,16
23.59,17.41,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,17
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,18
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,19
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,20
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,21
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,22
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,23
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,24
23.84,32.91,43.897,-1.02,-0.03,-0.00,-1.81,-4.32,-3.86,49.92,80.05,-64.01,25
23.84,32.91,43.897,-0.37,-0.09,-0.19,-64.58,-17.10,-18.96,33.58,56.21,-93.99,26
23.84,32.91,43.897,-0.37,-0.09,-0.19,-64.58,-17.10,-18.96,33.58,56.21,-93.99,27
23.59,18.09,43.897,-0.37,-0.09,-0.19,-64.58,-17.10,-18.96,33.58,56.21,-93.99,28
23.59,18.09,43.897,-0.37,-0.09,-0.19,-64.58,-17.10,-18.96,33.58,56.21,-93.99,29
23.59,18.09,43.897,-0.37,-0.09,-0.19,-64.58,-17.10,-18.96,33.58,56.21,-93.99,30
