ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.12,15.19,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606105.413301,0
22.12,15.19,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606105.623868,0
22.12,15.19,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606105.738411,0
22.12,15.06,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606105.978453,0
22.12,15.06,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606106.228192,0
22.12,15.06,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606106.338926,0
22.12,15.06,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606106.625931,0
22.12,15.06,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606106.874679,0
22.12,15.28,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606106.934485,0
22.12,15.28,45.9646,-0.97,0.02,-0.18,-1.49,-4.50,-2.76,16.79,50.52,-110.03,1466606107.285084,0
22.12,15.28,45.9646,-0.93,0.09,-0.12,-0.53,-3.79,-3.70,19.49,51.72,-110.63,1466606107.435083,0
22.12,15.28,45.9646,-0.93,0.09,-0.12,-0.53,-3.79,-3.70,19.49,51.72,-110.63,1466606107.69529,0
22.12,15.28,45.9646,-0.93,0.09,-0.12,-0.53,-3.79,-3.70,19.49,51.72,-110.63,1466606107.775386,0
22.12,15.50,45.9646,-1.01,0.17,-0.12,-15.84,-4.73,-9.78,15.74,53.67,-109.43,1466606107.945784,0
22.12,15.50,45.9646,-1.01,0.17,-0.12,-15.84,-4.73,-9.78,15.74,53.67,-109.43,1466606108.186397,0
22.12,15.50,45.9646,-1.01,0.17,-0.12,-15.84,-4.73,-9.78,15.74,53.67,-109.43,1466606108.33724,0
22.12,15.50,45.9646,-1.01,0.17,-0.12,-15.84,-4.73,-9.78,15.74,53.67,-109.43,1466606108.617411,0
22.12,15.50,45.9646,-1.01,0.17,-0.12,-15.84,-4.73,-9.78,15.74,53.67,-109.43,1466606108.737236,0
22.12,15.41,45.9646,-1.48,0.06,-0.11,-91.06,-24.12,-8.05,20.24,56.06,-126.97,1466606108.977392,0
22.12,15.41,45.9646,-1.48,0.06,-0.11,-91.06,-24.12,-8.05,20.24,56.06,-126.97,1466606109.197353,0
22.12,15.41,45.9646,-1.48,0.06,-0.11,-91.06,-24.12,-8.05,20.24,56.06,-126.97,1466606109.347384,0
22.12,15.41,45.9646,-1.48,0.06,-0.11,-91.06,-24.12,-8.05,20.24,56.06,-126.97,1466606109.637237,0
22.12,15.41,45.9646,-1.48,0.06,-0.11,-91.06,-24.12,-8.05,20.24,56.06,-126.97,1466606109.777417,0
22.12,15.34,45.9646,-1.17,0.09,-0.05,-78.45,1.64,-3.29,9.89,108.08,-154.85,1466606109.957745,0
22.12,15.34,45.9646,-1.17,0.09,-0.05,-78.45,1.64,-3.29,9.89,108.08,-154.85,1466606110.217414,0
22.12,15.34,45.9646,-1.17,0.09,-0.05,-78.45,1.64,-3.29,9.89,108.08,-154.85,1466606110.367407,0
22.12,15.34,45.9646,-1.17,0.09,-0.05,-78.45,1.64,-3.29,9.89,108.08,-154.85,1466606110.631046,0
22.12,15.34,45.9646,-1.17,0.09,-0.05,-78.45,1.64,-3.29,9.89,108.08,-154.85,1466606110.737238,0
22.12,15.47,45.9646,-1.33,0.07,-0.26,-5.46,19.23,-10.49,3.60,122.92,-101.48,1466606110.987412,0
22.12,15.47,45.9646,-1.33,0.07,-0.26,-5.46,19.23,-10.49,3.60,122.92,-101.48,1466606111.167409,0
22.12,15.47,45.9646,-1.33,0.07,-0.26,-5.46,19.23,-10.49,3.60,122.92,-101.48,1466606111.412103,0
22.12,15.47,45.9646,-1.33,0.07,-0.26,-5.46,19.23,-10.49,3.60,122.92,-101.48,1466606111.587581,0
22.12,15.47,45.9646,-1.33,0.07,-0.26,-5.46,19.23,-10.49,3.60,122.92,-101.48,1466606111.737237,0
22.12,15.31,45.9646,-0.70,0.14,-0.44,-89.10,30.05,-5.07,26.23,131.76,-50.52,1466606111.967349,0
22.12,15.31,45.9646,-0.70,0.14,-0.44,-89.10,30.05,-5.07,26.23,131.76,-50.52,1466606112.217361,0
22.12,15.31,45.9646,-0.70,0.14,-0.44,-89.10,30.05,-5.07,26.23,131.76,-50.52,1466606112.337235,0
22.12,15.31,45.9646,-0.70,0.14,-0.44,-89.10,30.05,-5.07,26.23,131.76,-50.52,1466606112.628688,0
22.12,15.31,45.9646,-0.70,0.14,-0.44,-89.10,30.05,-5.07,26.23,131.76,-50.52,1466606112.817755,0
22.12,15.19,45.9646,-1.12,0.08,0.06,-89.29,-25.00,-5.41,-6.60,129.82,-120.07,1466606112.937846,0
22.12,15.19,45.9646,-1.12,0.08,0.06,-89.29,-25.00,-5.41,-6.60,129.82,-120.07,1466606113.228126,0
22.12,15.19,45.9646,-1.12,0.08,0.06,-89.29,-25.00,-5.41,-6.60,129.82,-120.07,1466606113.348516,0
22.12,15.19,45.9646,-1.12,0.08,0.06,-89.29,-25.00,-5.41,-6.60,129.82,-120.07,1466606113.738963,0
22.12,15.19,45.9646,-1.12,0.08,0.06,-89.29,-25.00,-5.41,-6.60,129.82,-120.07,1466606113.809119,0
22.12,15.59,45.9646,-0.54,0.08,-0.19,-76.54,-16.21,-7.39,33.58,74.05,-86.64,1466606113.939262,0
22.12,15.59,45.9646,-0.54,0.08,-0.19,-76.54,-16.21,-7.39,33.58,74.05,-86.64,1466606114.249753,0
22.12,15.59,45.9646,-0.54,0.08,-0.19,-76.54,-16.21,-7.39,33.58,74.05,-86.64,1466606114.339732,0
22.12,15.59,45.9646,-0.54,0.08,-0.19,-76.54,-16.21,-7.39,33.58,74.05,-86.64,1466606114.660341,0
22.12,15.59,45.9646,-0.54,0.08,-0.19,-76.54,-16.21,-7.39,33.58,74.05,-86.64,1466606114.77051,0
22.12,15.34,45.9646,-0.65,0.00,-0.11,-91.96,-24.79,-12.95,3.30,58.61,-144.06,1466606114.950786,0
22.12,15.34,45.9646,-0.65,0.00,-0.11,-91.96,-24.79,-12.95,3.30,58.61,-144.06,1466606115.201004,0
22.12,15.34,45.9646,-0.65,0.00,-0.11,-91.96,-24.79,-12.95,3.30,58.61,-144.06,1466606115.371258,0
22.12,15.34,45.9646,-0.65,0.00,-0.11,-91.96,-24.79,-12.95,3.30,58.61,-144.06,1466606115.635555,0
22.12,15.34,45.9646,-0.65,0.00,-0.11,-91.96,-24.79,-12.95,3.30,58.61,-144.06,1466606115.781714,0
22.12,15.34,45.9646,-0.78,-0.16,0.01,-52.28,-0.47,3.30,39.12,78.85,-125.32,1466606115.954651,0
22.12,15.34,45.9646,-0.78,-0.16,0.01,-52.28,-0.47,3.30,39.12,78.85,-125.32,1466606116.184597,0
22.12,15.34,45.9646,-0.78,-0.16,0.01,-52.28,-0.47,3.30,39.12,78.85,-125.32,1466606116.421389,0
22.12,15.34,45.9646,-0.78,-0.16,0.01,-52.28,-0.47,3.30,39.12,78.85,-125.32,1466606116.604647,0
22.12,15.34,45.9646,-0.78,-0.16,0.01,-52.28,-0.47,3.30,39.12,78.85,-125.32,1466606116.794666,0
22.12,15.34,45.9646,-0.78,-0.16,0.01,-52.28,-0.47,3.30,39.12,78.85,-125.32,1466606116.984661,0
22.12,15.34,45.9646,-0.78,-0.16,0.01,-52.28,-0.47,3.30,39.12,78.85,-125.32,1466606117.224669,0
22.12,15.34,45.9646,-2.05,0.14,-0.15,-83.52,14.73,-15.51,8.99,129.82,-107.93,1466606117.424649,0
22.12,15.34,45.9646,-2.05,0.14,-0.15,-83.52,14.73,-15.51,8.99,129.82,-107.93,1466606117.564663,0
22.12,15.34,45.9646,-2.05,0.14,-0.15,-83.52,14.73,-15.51,8.99,129.82,-107.93,1466606117.836682,0
22.12,15.41,45.9646,-0.90,0.05,0.05,-81.06,-53.84,-4.72,2.40,96.69,-91.74,1466606117.942131,0
22.12,15.41,45.9646,-0.90,0.05,0.05,-81.06,-53.84,-4.72,2.40,96.69,-91.74,1466606118.22464,0
22.12,15.41,45.9646,-0.90,0.05,0.05,-81.06,-53.84,-4.72,2.40,96.69,-91.74,1466606118.342345,0
22.12,15.41,45.9646,-0.90,0.05,0.05,-81.06,-53.84,-4.72,2.40,96.69,-91.74,1466606118.594599,0
22.12,15.41,45.9646,-0.90,0.05,0.05,-81.06,-53.84,-4.72,2.40,96.69,-91.74,1466606118.774636,0
22.12,15.38,45.9646,-1.22,0.14,0.02,7.93,17.95,-6.09,56.96,110.33,-94.14,1466606119.064659,0
22.12,15.38,45.9646,-1.22,0.14,0.02,7.93,17.95,-6.09,56.96,110.33,-94.14,1466606119.144529,0
22.12,15.38,45.9646,-1.22,0.14,0.02,7.93,17.95,-6.09,56.96,110.33,-94.14,1466606119.394628,0
22.12,15.38,45.9646,-1.22,0.14,0.02,7.93,17.95,-6.09,56.96,110.33,-94.14,1466606119.544488,0
22.12,15.38,45.9646,-1.22,0.14,0.02,7.93,17.95,-6.09,56.96,110.33,-94.14,1466606119.742624,0
22.12,15.28,45.9646,-1.44,0.05,-0.02,-74.15,-18.04,-2.09,34.48,71.35,-86.19,1466606119.984663,0
22.12,15.28,45.9646,-1.44,0.05,-0.02,-74.15,-18.04,-2.09,34.48,71.35,-86.19,1466606120.29457,0
22.12,15.28,45.9646,-1.44,0.05,-0.02,-74.15,-18.04,-2.09,34.48,71.35,-86.19,1466606120.594601,0
22.12,15.28,45.9646,-1.44,0.05,-0.02,-74.15,-18.04,-2.09,34.48,71.35,-86.19,1466606120.664608,0
22.12,15.28,45.9646,-1.44,0.05,-0.02,-74.15,-18.04,-2.09,34.48,71.35,-86.19,1466606120.754648,0
22.12,15.16,45.9646,-0.83,0.09,0.32,-73.15,-21.07,5.14,-13.94,79.15,-192.92,1466606120.974637,0
22.12,15.16,45.9646,-0.83,0.09,0.32,-73.15,-21.07,5.14,-13.94,79.15,-192.92,1466606121.314663,0
22.12,15.16,45.9646,-0.83,0.09,0.32,-73.15,-21.07,5.14,-13.94,79.15,-192.92,1466606121.384627,0
22.12,15.16,45.9646,-0.83,0.09,0.32,-73.15,-21.07,5.14,-13.94,79.15,-192.92,1466606121.614632,0
22.12,15.16,45.9646,-0.83,0.09,0.32,-73.15,-21.07,5.14,-13.94,79.15,-192.92,1466606121.764653,0
22.12,15.50,45.9646,-1.25,0.13,-0.46,5.06,39.98,-6.54,3.60,83.05,-98.79,1466606122.036065,0
22.12,15.50,45.9646,-1.25,0.13,-0.46,5.06,39.98,-6.54,3.60,83.05,-98.79,1466606122.239932,0
22.12,15.50,45.9646,-1.25,0.13,-0.46,5.06,39.98,-6.54,3.60,83.05,-98.79,1466606122.444946,0
22.12,15.50,45.9646,-1.25,0.13,-0.46,5.06,39.98,-6.54,3.60,83.05,-98.79,1466606122.644962,0
22.12,15.50,45.9646,-1.05,0.03,0.09,-83.42,-14.58,-3.74,16.34,123.52,-75.85,1466606122.815264,0
22.16,15.41,45.9646,-1.05,0.03,0.09,-83.42,-14.58,-3.74,16.34,123.52,-75.85,1466606122.965429,0
22.16,15.41,45.9646,-1.05,0.03,0.09,-83.42,-14.58,-3.74,16.34,123.52,-75.85,1466606123.21569,0
22.16,15.41,45.9646,-1.05,0.03,0.09,-83.42,-14.58,-3.74,16.34,123.52,-75.85,1466606123.467383,0
22.16,15.41,45.9646,-1.05,0.03,0.09,-83.42,-14.58,-3.74,16.34,123.52,-75.85,1466606123.627416,0
22.16,15.41,45.9646,-0.81,-0.09,0.01,-75.63,23.24,-3.42,9.29,97.29,-85.29,1466606123.877386,0
