ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.12,15.09,46.33081,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605229.464487,0
22.12,15.09,46.33081,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605229.624666,0
22.12,15.34,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605229.724781,0
22.12,15.34,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605230.085155,0
22.12,15.34,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605230.159169,0
22.12,15.34,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605230.327028,0
22.12,15.34,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605230.697862,0
22.12,14.94,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605230.767237,0
22.12,14.94,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605230.997861,0
22.12,14.94,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605231.307411,0
22.12,14.94,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605231.387407,0
22.12,14.94,46.20874,-0.93,0.05,-0.11,0.89,-7.39,-2.86,-2.25,83.80,-103.73,1466605231.537409,0
22.12,15.28,46.20874,-0.94,0.03,-0.16,-0.54,-3.98,-3.11,-2.40,83.35,-100.73,1466605231.827382,0
22.12,15.28,46.20874,-1.04,0.08,-0.02,-37.10,-20.40,-0.91,-10.94,87.54,-109.73,1466605231.940859,0
22.12,15.28,46.20874,-1.04,0.08,-0.02,-37.10,-20.40,-0.91,-10.94,87.54,-109.73,1466605232.127358,0
22.12,15.28,46.20874,-1.04,0.08,-0.02,-37.10,-20.40,-0.91,-10.94,87.54,-109.73,1466605232.434658,0
22.12,15.28,46.20874,-1.04,0.08,-0.02,-37.10,-20.40,-0.91,-10.94,87.54,-109.73,1466605232.564624,0
22.12,15.47,46.33081,-1.04,0.08,-0.02,-37.10,-20.40,-0.91,-10.94,87.54,-109.73,1466605232.744669,0
22.12,15.47,46.33081,-1.07,0.09,0.06,-3.52,-5.85,-6.98,-8.84,110.78,-100.73,1466605232.974485,0
22.12,15.47,46.33081,-1.07,0.09,0.06,-3.52,-5.85,-6.98,-8.84,110.78,-100.73,1466605233.194598,0
22.12,15.47,46.33081,-1.07,0.09,0.06,-3.52,-5.85,-6.98,-8.84,110.78,-100.73,1466605233.324664,0
22.12,15.47,46.33081,-1.07,0.09,0.06,-3.52,-5.85,-6.98,-8.84,110.78,-100.73,1466605233.670138,0
22.12,15.72,46.20874,-1.07,0.09,0.06,-3.52,-5.85,-6.98,-8.84,110.78,-100.73,1466605233.772909,0
22.12,15.72,46.20874,-1.25,-0.06,0.12,-83.36,-27.98,-1.35,12.14,125.17,-69.55,1466605233.974486,0
22.12,15.72,46.20874,-1.25,-0.06,0.12,-83.36,-27.98,-1.35,12.14,125.17,-69.55,1466605234.17453,0
22.12,15.72,46.20874,-1.25,-0.06,0.12,-83.36,-27.98,-1.35,12.14,125.17,-69.55,1466605234.374484,0
22.12,15.72,46.20874,-1.25,-0.06,0.12,-83.36,-27.98,-1.35,12.14,125.17,-69.55,1466605234.584597,0
