ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,TimeStamp,DERAIL
22.19,15.75,46.08667,-0.84,0.01,-0.17,-1.32,-7.99,-5.86,24.13,61.31,-112.58,1466606380.985321,0
22.19,15.75,46.08667,-0.84,0.01,-0.17,-1.32,-7.99,-5.86,24.13,61.31,-112.58,1466606381.217411,0
22.19,15.94,46.08667,-0.84,0.01,-0.17,-1.32,-7.99,-5.86,24.13,61.31,-112.58,1466606381.397415,0
22.19,15.94,46.08667,-0.84,0.01,-0.17,-1.32,-7.99,-5.86,24.13,61.31,-112.58,1466606381.55738,0
22.19,15.94,46.08667,-0.84,0.01,-0.17,-1.32,-7.99,-5.86,24.13,61.31,-112.58,1466606381.798021,0
22.19,15.94,46.08667,-0.99,0.15,-0.10,2.37,-5.45,-0.46,24.28,61.61,-111.08,1466606381.986332,0
22.19,15.94,46.08667,-0.99,0.15,-0.10,2.37,-5.45,-0.46,24.28,61.61,-111.08,1466606382.144602,0
22.19,15.62,46.08667,-0.99,0.15,-0.10,2.37,-5.45,-0.46,24.28,61.61,-111.08,1466606382.444601,0
22.19,15.62,46.08667,-0.99,0.15,-0.10,2.37,-5.45,-0.46,24.28,61.61,-111.08,1466606382.544646,0
22.19,15.62,46.08667,-0.99,0.15,-0.10,2.37,-5.45,-0.46,24.28,61.61,-111.08,1466606382.814664,0
22.19,15.62,46.08667,-1.00,0.07,0.00,-1.39,-5.44,-6.89,22.19,61.61,-112.43,1466606383.004625,0
22.19,15.62,46.08667,-1.00,0.07,0.00,-1.39,-5.44,-6.89,22.19,61.61,-112.43,1466606383.264649,0
22.19,15.75,46.08667,-1.00,0.07,0.00,-1.39,-5.44,-6.89,22.19,61.61,-112.43,1466606383.404628,0
22.19,15.75,46.08667,-1.00,0.07,0.00,-1.39,-5.44,-6.89,22.19,61.61,-112.43,1466606383.544611,0
22.19,15.75,46.08667,-1.00,0.07,0.00,-1.39,-5.44,-6.89,22.19,61.61,-112.43,1466606383.79328,0
22.19,15.75,46.08667,-1.42,-0.04,-0.15,66.40,12.97,-6.96,25.78,60.11,-107.93,1466606384.089367,0
22.19,15.75,46.08667,-1.42,-0.04,-0.15,66.40,12.97,-6.96,25.78,60.11,-107.93,1466606384.157408,0
22.19,15.56,46.08667,-1.42,-0.04,-0.15,66.40,12.97,-6.96,25.78,60.11,-107.93,1466606384.497237,0
22.19,15.56,46.08667,-1.42,-0.04,-0.15,66.40,12.97,-6.96,25.78,60.11,-107.93,1466606384.567407,0
22.19,15.56,46.08667,-1.42,-0.04,-0.15,66.40,12.97,-6.96,25.78,60.11,-107.93,1466606384.817406,0
22.19,15.56,46.08667,-1.18,-0.02,-0.25,61.14,-11.15,-5.88,23.08,71.05,-98.49,1466606384.967412,0
22.19,15.66,46.08667,-1.18,-0.02,-0.25,61.14,-11.15,-5.88,23.08,71.05,-98.49,1466606385.317359,0
22.19,15.66,46.08667,-1.18,-0.02,-0.25,61.14,-11.15,-5.88,23.08,71.05,-98.49,1466606385.377343,0
22.19,15.66,46.08667,-1.18,-0.02,-0.25,61.14,-11.15,-5.88,23.08,71.05,-98.49,1466606385.617403,0
