ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.25,18.00,36.02335,-0.93,-0.04,-0.03,-1.14,-6.15,-2.00,36.73,86.49,-68.81,1
23.25,18.00,36.02335,-0.93,-0.04,-0.03,-1.14,-6.15,-2.00,36.73,86.49,-68.81,2
23.25,18.00,36.02335,-0.93,-0.04,-0.03,-1.14,-6.15,-2.00,36.73,86.49,-68.81,3
23.25,18.00,36.02335,-0.93,-0.04,-0.03,-1.14,-6.15,-2.00,36.73,86.49,-68.81,4
23.25,18.09,36.02335,-0.93,-0.04,-0.03,-1.14,-6.15,-2.00,36.73,86.49,-68.81,5
23.25,18.09,36.02335,-0.93,-0.04,-0.03,-1.14,-6.15,-2.00,36.73,86.49,-68.81,6
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,7
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,8
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,9
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,10
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,11
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,12
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,13
23.25,18.09,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,14
23.44,24.47,36.02335,-0.97,-0.08,-0.07,-5.25,4.17,-6.15,37.63,84.99,-68.66,15
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,16
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,17
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,18
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,19
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,20
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,21
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,22
23.44,24.47,36.02335,-0.59,-0.07,-0.06,-9.27,-13.89,-9.51,36.73,86.94,-67.46,23
