ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.34,17.34,35.0544,-0.90,-0.01,-0.02,2.52,-5.90,-3.98,-1.20,94.59,-160.70,1
23.34,17.34,35.0544,-0.90,-0.01,-0.02,2.52,-5.90,-3.98,-1.20,94.59,-160.70,2
23.34,17.34,35.0544,-0.90,-0.01,-0.02,2.52,-5.90,-3.98,-1.20,94.59,-160.70,3
23.34,17.34,35.0544,-0.90,-0.01,-0.02,2.52,-5.90,-3.98,-1.20,94.59,-160.70,4
23.34,17.34,35.0544,-0.90,-0.01,-0.02,2.52,-5.90,-3.98,-1.20,94.59,-160.70,5
23.34,17.34,35.0544,-0.94,-0.03,-0.02,-2.31,-4.68,-1.99,0.15,94.74,-158.75,6
23.34,17.34,35.0544,-0.94,-0.03,-0.02,-2.31,-4.68,-1.99,0.15,94.74,-158.75,7
23.34,17.38,35.0544,-0.94,-0.03,-0.02,-2.31,-4.68,-1.99,0.15,94.74,-158.75,8
23.34,17.38,35.0544,-0.94,-0.03,-0.02,-2.31,-4.68,-1.99,0.15,94.74,-158.75,9
23.34,17.38,35.0544,-0.94,-0.03,-0.02,-2.31,-4.68,-1.99,0.15,94.74,-158.75,10
23.34,17.38,35.0544,-0.94,-0.03,-0.02,-2.31,-4.68,-1.99,0.15,94.74,-158.75,11
23.34,17.38,35.0544,-0.94,-0.03,-0.02,-2.31,-4.68,-1.99,0.15,94.74,-158.75,12
23.34,17.38,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,13
23.34,17.38,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,14
23.34,17.38,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,15
23.34,17.38,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,16
23.34,17.38,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,17
23.34,17.28,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,18
23.34,17.28,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,19
23.34,17.28,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,20
23.34,17.28,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,21
23.34,17.28,35.0544,-0.88,0.04,-0.16,-2.96,5.98,-1.91,-1.50,93.09,-161.29,22
23.34,17.28,35.0544,-1.07,0.15,0.09,-60.61,-5.91,-1.84,-5.25,77.20,-166.39,23
23.34,17.28,35.0544,-1.07,0.15,0.09,-60.61,-5.91,-1.84,-5.25,77.20,-166.39,24
23.34,17.28,35.0544,-1.07,0.15,0.09,-60.61,-5.91,-1.84,-5.25,77.20,-166.39,25
23.34,17.28,35.0544,-1.07,0.15,0.09,-60.61,-5.91,-1.84,-5.25,77.20,-166.39,26
