ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.22,15.25,45.72808,988.84,3.088322,-0.91,0.12,0.08,-0.10,-5.82,-1.49,27.13,79.75,-77.50,1.85,1464796204
22.22,15.84,45.72808,988.85,3.000381,-1.19,0.24,-0.02,-18.88,-19.87,-3.59,26.68,76.00,-73.15,0.96,1464796205
22.22,16.03,45.72808,988.82,3.264726,-0.99,0.01,0.18,-72.63,-24.20,13.18,21.89,61.91,-100.13,2.18,1464796206
22.22,15.84,45.72808,988.85,3.000381,-1.13,-0.00,0.42,-41.83,-2.30,19.36,3.15,111.08,-156.95,4.28,1464796207
22.22,15.88,45.72808,988.82,3.264726,-0.94,0.19,-0.22,10.64,-13.66,7.48,-11.84,74.65,-118.12,10.46,1464796208
22.22,15.84,45.72808,988.82,3.264726,-0.99,0.11,0.14,-60.99,-15.84,11.63,2.40,121.72,-66.71,10.84,1464796209
22.22,15.81,45.72808,988.85,3.000381,-1.75,0.43,0.43,-77.70,-31.24,16.24,20.54,85.59,-53.67,6.08,1464796210
22.22,15.66,45.72808,988.81,3.35319,-1.02,0.08,0.17,-71.53,6.37,3.57,38.97,116.92,-90.09,5.17,1464796211
22.22,15.50,45.72808,988.84,3.088322,-1.01,-0.08,-0.07,0.90,1.85,1.14,22.79,81.40,-75.25,1.04,1464796212
22.22,15.56,45.72808,988.84,3.088322,-0.94,0.39,0.02,-71.58,5.21,-6.05,26.23,66.41,-94.14,2.34,1464796213
22.22,15.72,45.72808,988.83,3.176784,-1.22,-0.17,0.31,-67.72,3.00,9.92,0.75,111.23,-160.10,3.72,1464796214
22.22,15.62,45.72808,988.84,3.088322,-0.96,0.12,0.26,-0.21,-9.46,-11.51,-7.94,109.88,-93.39,11.21,1464796215
22.22,15.62,45.72808,988.83,3.176784,0.35,0.13,-0.60,-11.75,-78.90,0.53,5.70,122.77,-64.31,0.08,1464796216
22.22,15.81,45.72808,988.84,3.088322,-0.04,-0.07,-0.97,0.29,-9.81,-3.36,-3.30,102.83,-188.73,0.08,1464796217
22.25,15.78,45.72808,988.86,2.911921,-0.08,-0.13,-0.98,-2.00,-3.67,-4.04,7.05,111.68,-130.42,0.08,1464796218
22.25,15.66,45.72808,988.84,3.088322,-0.00,-0.13,-1.16,0.26,-5.77,-2.44,6.45,111.98,-129.97,0.08,1464796219
