ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.06,15.41,45.85015,988.94,2.205832,-0.98,0.04,-0.02,0.14,-6.02,-4.26,26.98,77.80,-78.70,2.09,1464795638
22.06,15.69,45.85015,988.94,2.205832,-0.95,0.30,0.04,-25.77,-19.40,-1.49,38.67,77.50,-75.85,4.03,1464795639
22.06,15.59,45.85015,988.94,2.205832,-1.17,0.16,-0.05,-72.68,-15.93,-14.12,17.84,59.36,-112.73,3.54,1464795640
22.06,15.59,45.85015,988.96,2.029449,-1.04,0.06,0.10,-61.49,-12.44,-11.03,17.24,110.48,-141.21,5.41,1464795641
22.06,15.50,45.85015,988.95,2.11738,-0.79,-0.04,0.15,6.51,0.41,-19.43,-19.94,90.69,-111.53,17.11,1464795642
22.06,15.34,45.85015,988.89,2.647066,-1.18,0.06,0.19,-65.98,-6.31,5.29,15.29,115.27,-61.46,15.46,1464795643
22.06,15.59,45.85015,988.89,2.647066,-1.08,0.04,-0.06,-64.00,-4.15,0.36,26.83,82.60,-66.86,8.09,1464795644
22.06,15.50,45.85015,988.94,2.205832,-0.75,0.17,0.22,-66.60,-7.83,15.41,58.46,112.58,-79.15,2.57,1464795645
22.06,15.59,45.85015,988.89,2.647066,-1.11,0.20,0.19,-2.53,-23.25,-4.77,31.78,82.60,-71.95,4.11,1464795646
22.06,15.38,45.85015,988.94,2.205832,-0.83,0.04,0.04,-72.68,-7.39,3.59,25.18,61.01,-107.18,3.62,1464795647
22.06,15.59,45.85015,988.92,2.38274,-0.82,-0.01,-0.16,-62.50,-5.95,-7.95,17.84,112.28,-147.05,5.42,1464795648
22.06,15.53,45.85015,988.94,2.205832,0.16,-0.27,0.09,1.35,0.09,17.32,-1.50,117.82,-94.74,19.05,1464795649
22.09,15.53,45.85015,988.94,2.205832,-2.45,0.60,0.29,34.37,-104.03,71.98,20.24,114.53,-62.51,19.83,1464795650
22.09,15.50,45.85015,988.92,2.38274,-1.03,0.09,0.04,-28.10,-2.58,-39.12,21.29,93.54,-49.47,20.56,1464795651
22.09,15.75,45.85015,988.94,2.205832,-0.92,0.03,-0.02,1.52,-6.79,-3.05,24.73,84.69,-61.61,20.41,1464795652
22.09,15.56,45.85015,988.93,2.294286,-0.91,0.07,0.09,-0.41,-4.99,-1.84,13.64,83.65,-96.99,20.31,1464795653
22.09,15.41,45.85015,988.94,2.205832,-1.00,0.07,-0.05,0.88,-7.47,-1.44,14.39,83.05,-97.74,20.15,1464795654
