ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
21.97,15.62,45.72808,988.96,2.029449,-0.88,0.07,0.01,-0.39,-4.40,-3.31,25.33,78.40,-77.05,1.76,1464795290
21.97,15.28,45.69757,988.94,2.205832,-1.19,0.21,0.17,-19.74,-3.41,0.53,26.38,76.60,-74.05,1.28,1464795291
21.97,15.62,45.72808,988.97,1.941519,-1.01,0.23,0.28,-63.04,-11.24,1.04,17.54,62.21,-112.43,1.44,1464795292
21.97,15.47,45.72808,988.97,1.941519,-1.08,0.29,0.27,-57.41,-23.76,29.38,20.39,111.23,-135.06,1.36,1464795293
21.97,15.47,45.72808,988.94,2.205832,-0.89,-0.09,-0.02,2.56,-10.99,14.83,-23.53,92.04,-109.13,0.64,1464795294
21.97,15.47,45.72808,988.97,1.941519,-0.70,0.01,0.06,-72.25,14.83,21.09,7.20,110.78,-64.46,1.20,1464795295
21.97,15.50,45.72808,988.94,2.205832,-0.58,0.08,0.10,-52.68,-0.26,11.07,20.99,82.45,-72.10,0.72,1464795296
21.97,15.50,45.72808,988.93,2.294286,-1.03,0.24,0.05,-70.69,-1.47,3.06,54.71,109.88,-67.61,1.04,1464795297
21.97,15.38,45.72808,988.93,2.294286,-1.10,0.04,0.20,-10.59,-31.59,11.15,28.93,80.05,-69.85,1.20,1464795298
21.97,15.25,45.72808,989,1.676694,-1.35,-0.09,0.30,-68.58,-9.84,17.95,21.59,60.26,-107.78,1.28,1464795299
21.97,15.25,45.72808,988.97,1.941519,-1.20,0.19,-0.06,-53.29,-9.39,1.69,15.44,111.23,-137.16,1.20,1464795300
21.97,15.62,45.72808,988.95,2.11738,-0.66,0.25,0.03,-18.19,26.24,-18.14,-3.15,112.58,-94.89,0.88,1464795301
21.97,15.34,45.72808,988.97,1.941519,-0.31,-0.16,0.17,159.23,-166.69,33.48,13.79,112.73,-65.96,0.00,1464795302
21.97,15.16,45.72808,988.96,2.029449,-0.11,-0.03,-0.71,3.43,-10.20,-4.49,19.04,100.13,-158.75,0.00,1464795303
21.97,15.56,45.72808,988.99,1.764621,-0.09,-0.08,-0.85,1.62,-10.41,-4.58,15.89,98.19,-113.63,0.00,1464795304
21.97,15.56,45.72808,988.96,2.029449,-0.02,-0.06,-0.99,-0.01,-4.56,-1.84,15.74,99.69,-113.18,0.00,1464795305
21.97,15.16,45.60601,988.97,1.941519,-0.01,-0.16,-0.86,4.11,-9.70,-5.63,15.89,99.24,-114.38,0.00,1464795306
