ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.03,15.31,45.9646,988.96,2.029449,-1.13,-0.03,-0.01,0.26,-4.66,-2.77,29.68,79.75,-76.75,4.43,1464795466
22.03,15.81,45.9646,988.96,2.029449,-0.98,0.06,0.03,-66.68,-18.71,-1.00,36.73,69.70,-78.85,4.84,1464795467
22.03,15.47,45.9646,988.95,2.11738,-0.58,-0.08,-0.29,-66.68,-13.93,-13.32,7.94,71.50,-153.35,6.95,1464795468
22.03,15.59,45.9646,988.94,2.205832,-1.13,0.16,-0.23,-69.07,-13.28,-3.03,34.63,84.69,-120.97,9.55,1464795469
22.03,15.72,45.9646,988.92,2.38274,-1.06,-0.06,-0.38,-5.12,7.34,-12.19,1.20,115.42,-91.89,5.89,1464795470
22.03,15.44,45.9646,988.97,1.941519,-1.13,0.14,-0.08,-70.68,8.72,4.51,20.99,110.63,-44.37,16.02,1464795471
22.03,15.59,45.9646,988.92,2.38274,-1.12,0.01,-0.22,-68.08,-26.30,4.51,-19.19,115.87,-147.80,10.11,1464795472
22.03,15.53,45.9646,988.93,2.294286,-1.23,0.10,-0.10,3.35,4.11,-13.00,58.16,89.04,-59.66,7.34,1464795473
22.03,15.47,45.85015,988.94,2.205832,-1.02,0.06,0.14,-70.63,1.77,-1.20,30.58,80.35,-76.90,3.37,1464795474
22.03,15.44,45.9646,988.94,2.205832,-0.78,0.15,0.10,-66.45,-0.32,-2.78,7.79,72.40,-143.46,5.34,1464795475
22.03,15.31,46.08667,988.96,2.029449,-0.95,0.07,0.02,-67.67,-7.07,-0.30,3.30,78.40,-107.63,11.52,1464795476
22.03,15.28,45.9646,988.94,2.205832,-1.52,0.56,-0.16,16.71,59.32,-31.29,0.45,115.12,-94.29,6.88,1464795477
22.03,15.28,45.9646,988.96,2.029449,-1.17,-0.13,0.51,64.19,-216.33,50.88,6.30,114.53,-57.41,25.62,1464795478
22.03,15.69,45.9646,988.94,2.205832,-0.92,0.00,0.01,-1.16,-4.21,-3.03,2.55,86.19,-61.01,21.98,1464795479
22.03,15.47,45.9646,988.95,2.11738,-0.94,-0.03,0.09,-3.32,-3.01,0.19,2.40,87.09,-62.81,22.53,1464795480
