ambientTemp,objectTemp,humidity,pressure,altitude,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,light,time
22.12,15.75,45.60601,988.97,1.941519,-0.85,-0.05,-0.01,3.39,-10.60,2.57,20.39,81.85,-78.85,5.81,1464795823
22.12,15.62,45.48394,988.97,1.941519,-0.84,0.10,0.11,-68.56,-7.90,10.19,30.73,85.14,-71.20,30.38,1464795824
22.12,15.59,45.60601,988.95,2.11738,-1.01,0.08,0.09,-65.59,-14.93,11.84,9.59,69.55,-132.21,2.16,1464795825
22.12,15.81,45.60601,988.91,2.470674,-0.86,0.24,0.13,-59.14,-20.72,18.64,51.42,93.39,-111.38,3.30,1464795826
22.12,15.81,45.60601,988.92,2.38274,-1.02,0.11,0.12,-0.08,-0.89,-7.42,2.55,116.47,-86.04,15.78,1464795827
22.12,15.62,45.60601,988.95,2.11738,-0.62,0.01,0.11,-61.77,-5.85,1.21,12.59,115.87,-47.22,11.30,1464795828
22.12,15.72,45.60601,988.94,2.205832,-0.77,-0.02,0.09,-68.69,-2.37,11.23,-15.14,104.78,-136.86,6.71,1464795829
22.12,15.69,45.60601,988.94,2.205832,0.01,-0.15,-0.32,20.95,-5.29,-53.29,63.26,92.04,-56.66,4.75,1464795830
22.12,15.38,45.60601,988.96,2.029449,-0.77,0.07,-0.14,-80.50,3.50,-5.76,24.73,77.95,-80.95,29.90,1464795831
22.12,15.56,45.60601,988.94,2.205832,-1.12,0.11,0.02,-69.83,-1.01,-4.59,10.64,67.46,-134.91,2.17,1464795832
22.16,15.50,45.60601,988.94,2.205832,-1.22,-0.16,0.18,-63.00,-2.36,-3.66,5.85,79.75,-109.73,3.63,1464795833
22.16,15.78,45.60601,988.92,2.38274,-0.52,0.04,-0.03,-8.60,-55.27,-35.40,0.75,114.08,-90.09,11.68,1464795834
22.16,15.75,45.60601,988.96,2.029449,0.16,0.27,0.97,0.12,-6.70,-2.59,5.70,113.48,-53.22,6.80,1464795835
22.16,15.91,45.60601,988.99,1.764621,0.20,0.19,0.96,0.12,-4.72,-2.91,5.10,15.89,1.20,4.86,1464795836
22.16,15.44,45.60601,988.91,2.470674,0.21,0.23,0.91,0.43,-4.91,-2.01,4.50,13.79,1.65,4.93,1464795837
22.16,15.69,45.60601,988.93,2.294286,0.20,0.21,1.01,-0.79,-4.02,-2.79,4.50,12.44,0.30,5.02,1464795838
