ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
24.44,18.38,34.02441,-0.91,0.04,-0.05,0.98,-8.54,-4.37,31.03,82.60,-82.30,1
24.44,18.38,34.02441,-0.91,0.04,-0.05,0.98,-8.54,-4.37,31.03,82.60,-82.30,2
24.44,18.38,34.02441,-0.91,0.04,-0.05,0.98,-8.54,-4.37,31.03,82.60,-82.30,3
24.44,18.38,34.02441,-0.91,0.04,-0.05,0.98,-8.54,-4.37,31.03,82.60,-82.30,4
24.44,18.38,34.02441,-0.91,0.04,-0.05,0.98,-8.54,-4.37,31.03,82.60,-82.30,5
24.44,18.38,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,6
24.44,18.38,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,7
24.44,18.38,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,8
24.44,18.38,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,9
24.44,18.38,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,10
24.59,8.25,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,11
24.59,8.25,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,12
24.59,8.25,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,13
24.59,8.25,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,14
24.59,8.25,34.02441,-0.94,-0.06,-0.02,0.38,-6.82,-4.29,30.73,81.85,-80.95,15
24.59,8.25,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,16
24.59,8.25,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,17
24.59,8.25,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,18
24.59,8.25,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,19
24.59,8.25,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,20
24.44,19.09,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,21
24.44,19.09,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,22
24.44,19.09,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,23
24.44,19.09,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,24
24.44,19.09,34.02441,-0.85,-0.08,0.06,-13.78,1.13,-2.86,33.28,83.65,-78.10,25
24.44,19.09,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,26
24.44,19.09,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,27
24.44,19.09,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,28
24.44,19.09,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,29
24.44,19.09,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,30
24.44,18.84,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,31
24.44,18.84,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,32
24.44,18.84,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,33
24.44,18.84,34.02441,-0.98,0.04,-0.07,-63.17,-22.86,-7.31,32.08,65.06,-100.43,34
24.44,18.84,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,35
24.44,18.84,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,36
24.44,18.84,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,37
24.44,18.84,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,38
24.44,18.84,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,39
24.44,18.84,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,40
24.44,18.88,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,41
24.44,18.88,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,42
24.44,18.88,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,43
24.44,18.88,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,44
24.44,18.88,34.02441,-1.07,0.01,-0.12,-64.05,-4.82,-0.41,-4.65,113.93,-165.49,45
24.44,18.88,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,46
24.44,18.88,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,47
24.44,18.88,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,48
24.44,18.88,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,49
24.44,18.88,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,50
24.44,18.59,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,51
24.44,18.59,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,52
24.44,18.59,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,53
24.44,18.59,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,54
24.44,18.59,34.02441,-0.62,0.10,-0.09,-21.87,-16.99,0.67,9.29,80.05,-104.18,55
24.44,18.59,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,56
24.44,18.59,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,57
24.44,18.59,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,58
24.44,18.59,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,59
24.44,18.59,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,60
24.44,18.66,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,61
24.44,18.66,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,62
24.44,18.66,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,63
24.44,18.66,34.02441,-0.88,-0.11,0.11,-52.42,-11.94,-2.75,12.89,129.07,-75.10,64
24.44,18.66,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,65
24.44,18.66,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,66
24.44,18.66,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,67
24.44,18.66,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,68
24.44,18.66,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,69
24.44,18.66,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,70
24.44,18.44,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,71
24.44,18.44,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,72
24.44,18.44,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,73
24.44,18.44,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,74
24.44,18.44,34.02441,-1.01,-0.01,0.01,-61.39,-3.62,-6.82,30.88,98.49,-37.78,75
24.44,18.44,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,76
24.44,18.44,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,77
24.44,18.44,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,78
24.44,18.44,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,79
24.44,18.44,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,80
24.44,18.59,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,81
24.44,18.59,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,82
24.44,18.59,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,83
24.44,18.59,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,84
24.44,18.59,34.02441,-0.83,-0.05,0.01,-61.59,-17.17,-2.44,9.14,126.37,-132.81,85
24.44,18.59,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,86
24.44,18.59,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,87
24.44,18.59,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,88
24.44,18.59,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,89
24.44,18.59,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,90
24.47,28.22,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,91
24.47,28.22,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,92
24.47,28.22,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,93
24.47,28.22,34.02441,-1.02,-0.05,-0.10,1.35,-15.74,-5.74,47.97,74.20,-81.10,94
24.47,28.22,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,95
24.47,28.22,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,96
24.47,28.22,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,97
24.47,28.22,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,98
24.47,28.22,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,99
24.47,28.22,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,100
24.44,18.72,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,101
24.44,18.72,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,102
24.44,18.72,34.02441,-0.78,0.01,0.11,-67.66,-9.53,-1.56,41.97,80.35,-75.25,103
