ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,1
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,2
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,3
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,4
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,5
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,6
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,7
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,8
24.03,18.06,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,9
24.53,29.19,34.9781,-0.94,-0.01,-0.05,-1.77,-6.72,-4.87,35.68,80.05,-78.85,10
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,11
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,12
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,13
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,14
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,15
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,16
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,17
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,18
24.53,29.19,34.9781,-1.72,-0.03,0.02,-9.21,-28.25,-11.14,36.13,81.25,-79.90,19
