ambientTemp,objectTemp,humidity,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,iteration
23.72,17.53,35.19936,-0.95,-0.01,-0.04,-0.07,-7.18,-3.67,32.98,81.70,-77.65,1
23.72,17.50,35.19936,-0.95,-0.01,-0.04,-0.07,-7.18,-3.67,32.98,81.70,-77.65,2
23.72,17.50,35.19936,-0.95,-0.01,-0.04,-0.07,-7.18,-3.67,32.98,81.70,-77.65,3
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,4
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,5
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,6
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,7
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,8
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,9
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,10
23.72,17.50,35.19936,-0.96,-0.01,-0.07,2.93,-7.88,-2.19,35.68,82.30,-75.70,11
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,12
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,13
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,14
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,15
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,16
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,17
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,18
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,19
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,20
23.75,25.44,35.19936,-0.90,0.04,0.02,-18.54,-6.85,0.29,40.32,80.80,-71.20,21
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,22
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,23
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,24
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,25
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,26
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,27
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,28
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,29
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,30
23.72,18.09,35.19936,-0.99,0.16,0.09,-63.00,-20.33,0.76,37.33,64.16,-97.14,31
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,32
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,33
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,34
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,35
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,36
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,37
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,38
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,39
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,40
23.72,18.06,35.19936,-0.80,-0.10,0.03,-61.75,-4.54,-7.18,-5.10,109.28,-165.19,41
